Validator,PT_VERSION,2.5.1
Validator,ROCM_VERSION,6.3.0.2.0-4-ce2be3b
Validator,HIPBLASLT_VERSION,1000-9f30df55
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.3.0-8ebd6c11
GemmAndBiasTunableOp_BFloat16_NT,nt_1152_1152_32,Gemm_Hipblaslt_NT_163351,0.0187621
GemmAndBiasTunableOp_BFloat16_NT,nt_1152_6912_32,Gemm_Hipblaslt_NT_165262,0.0250426
GemmAndBiasTunableOp_BFloat16_NT,nt_256_1152_32,Gemm_Hipblaslt_NT_163344,0.0189081
GemmAndBiasTunableOp_BFloat16_NT,nt_1152_1152_8192,Gemm_Hipblaslt_NT_189304,0.162226
GemmAndBiasTunableOp_BFloat16_NT,nt_1152_4608_8192,Gemm_Hipblaslt_NT_191035,0.530298
GemmAndBiasTunableOp_BFloat16_NT,nt_1152_3456_8192,Gemm_Hipblaslt_NT_163342,0.426897
GemmAndBiasTunableOp_BFloat16_NT,nt_1152_2304_32,Gemm_Hipblaslt_NT_165262,0.0179285
GemmAndBiasTunableOp_BFloat16_NT,nt_4608_1152_8192,Gemm_Hipblaslt_NT_189882,0.522711
GemmAndBiasTunableOp_BFloat16_NT,nt_1152_32_8192,Gemm_Hipblaslt_NT_188637,0.024995
GemmAndBiasTunableOp_BFloat16_NN,nn_1152_32_6912,Gemm_Hipblaslt_NN_147901,0.0236998
GemmAndBiasTunableOp_BFloat16_NN,nn_1152_8192_1152,Gemm_Hipblaslt_NN_193040,0.14505
GemmAndBiasTunableOp_BFloat16_NN,nn_1152_32_1152,Gemm_Hipblaslt_NN_145680,0.0175653
GemmAndBiasTunableOp_BFloat16_NN,nn_1152_8192_4608,Gemm_Hipblaslt_NN_193735,0.475413
GemmAndBiasTunableOp_BFloat16_NN,nn_1152_8192_3456,Gemm_Hipblaslt_NN_193596,0.370638
GemmAndBiasTunableOp_BFloat16_NN,nn_4608_8192_1152,Gemm_Hipblaslt_NN_165465,0.475877
GemmAndBiasTunableOp_BFloat16_NN,nn_1152_32_2304,Gemm_Hipblaslt_NN_147642,0.0181746
GemmAndBiasTunableOp_BFloat16_NN,nn_1152_8192_32,Gemm_Hipblaslt_NN_193591,0.0294202
GemmAndBiasTunableOp_BFloat16_TN,tn_2304_32_1152,Gemm_Hipblaslt_TN_163433,0.0191258
GemmAndBiasTunableOp_BFloat16_TN,tn_1152_8192_4608,Gemm_Hipblaslt_TN_226743,0.471362
GemmAndBiasTunableOp_BFloat16_TN,tn_4608_8192_1152,Gemm_Hipblaslt_TN_227916,0.481817
GemmAndBiasTunableOp_BFloat16_TN,tn_32_8192_1152,Gemm_Hipblaslt_TN_139367,0.0202686
GemmAndBiasTunableOp_BFloat16_TN,tn_1152_8192_1152,Gemm_Hipblaslt_TN_226501,0.135607
GemmAndBiasTunableOp_BFloat16_TN,tn_3456_8192_1152,Gemm_Hipblaslt_TN_227846,0.371651
GemmAndBiasTunableOp_BFloat16_TN,tn_6912_32_1152,Gemm_Hipblaslt_TN_136535,0.0201134
GemmAndBiasTunableOp_BFloat16_TN,tn_1152_32_1152,Gemm_Hipblaslt_TN_137603,0.0194698
GemmAndBiasTunableOp_BFloat16_TN,tn_1152_32_256,Gemm_Hipblaslt_TN_136182,0.0175554
