Validator,PT_VERSION,2.5.1
Validator,ROCM_VERSION,6.3.0.2.0-4-ce2be3b
Validator,HIPBLASLT_VERSION,1000-9f30df55
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.3.0-8ebd6c11
GemmTunableOp_BFloat16_NN,nn_1152_32_6912,Gemm_Rocblas_621296161,0.0190741
GemmTunableOp_BFloat16_NN,nn_1152_8192_1152,Gemm_Rocblas_621291000,0.142521
GemmTunableOp_BFloat16_NN,nn_1152_1152_8192,Gemm_Hipblaslt_NN_192956,0.148371
GemmTunableOp_BFloat16_NN,nn_1152_3456_8192,Gemm_Rocblas_621296097,0.374099
GemmTunableOp_BFloat16_NN,nn_4608_1152_8192,Gemm_Rocblas_621296094,0.474182
GemmTunableOp_BFloat16_NN,nn_1152_6912_32,Gemm_Hipblaslt_NN_193591,0.0270238
GemmTunableOp_BFloat16_NN,nn_1152_4608_8192,Gemm_Rocblas_621296094,0.478766
GemmTunableOp_BFloat16_NN,nn_1152_8192_4608,Gemm_Rocblas_621291002,0.482831
GemmTunableOp_BFloat16_NN,nn_1152_8192_3456,Gemm_Rocblas_621296098,0.37081
GemmTunableOp_BFloat16_NN,nn_3456_8192_1152,Gemm_Rocblas_621296094,0.385861
GemmTunableOp_BFloat16_NN,nn_4608_8192_1152,Gemm_Rocblas_621296094,0.482651
